DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Rua                                                                                                        00722557A                                                                       R A                                                                     49042163NS                                                                                                        
DSE      00008770Aracaju                                                                      0005655217 de Março                                                                  00000000                                                                        Acesso                                                                                                     00839287Trinta                                                                  Ac Trinta                           (Bloco 1)                           49003271NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Travessa                                                                                                   00834433Trinta                                                                  Tv Trinta                           (Cj Pe Pedro)                       49044234NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00722945Trinta                                                                  R Trinta                            (Lot Sta Maria)                     49043778NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00723197Trinta                                                                  R Trinta                            (Cj Pe Pedro)                       49044233NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00356817Trinta                                                                  R Trinta                            (Cj JK)                             49096080NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00881564Trinta                                                                  R Trinta                                                                49069149NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00723195Trinta e Cinco                                                          R Trinta e Cinco                    (Cj Pe Pedro)                       49044206NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Travessa                                                                                                   00723179Trinta e Cinco                                                          Tv Trinta e Cinco                   (Cj Pe Pedro)                       49044153NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Travessa                                                                                                   00834407Trinta e Dois                                                           Tv Trinta e Dois                    (Cj Pe Pedro)                       49044144NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00723194Trinta e Dois                                                           R Trinta e Dois                     (Cj Pe Pedro)                       49044203NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00722948Trinta e Dois                                                           R Trinta e Dois                     (Lot Sta Maria)                     49043784NS                                                                                                        
DSE      00008770Aracaju                                                                      00014211Luzia                                                                        00000000                                                                        Rua                                                                                                        00856672Trinta e Dois                                                           R Trinta e Dois                     (Jd Gravatá)                        49048526NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00725777Trinta e Dois                                                           R Trinta e Dois                     (Lot Coqueiral)                     49069165NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Travessa                                                                                                   00834494Trinta e Dois 1                                                         Tv Trinta e Dois 1                  (Cj Pe Pedro)                       49044204NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00808315Trinta e Nove                                                           R Trinta e Nove                     (Lot P do Sul)                      49044436NS                                                                                                        
DSE      00008770Aracaju                                                                      0005655217 de Março                                                                  00000000                                                                        Acesso                                                                                                     00839311Trinta e Nove                                                           Ac Trinta e Nove                    (Bloco 1)                           49003304NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00723224Trinta e Oito                                                           R Trinta e Oito                     (Lot P do Sul)                      49044451NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00834408Trinta e Seis                                                           R Trinta e Seis                     (Cj Pe Pedro)                       49044146NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00813497Trinta e Sete                                                           R Trinta e Sete                     (Lot P do Sul)                      49044346NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00356819Trinta e Sete                                                           R Trinta e Sete                     (Cj JK)                             49096100NS                                                                                                        
DSE      00008770Aracaju                                                                      0005655217 de Março                                                                  00000000                                                                        Acesso                                                                                                     00839306Trinta e Sete                                                           Ac Trinta e Sete                    (Bloco 1)                           49003295NS                                                                                                        
DSE      00008770Aracaju                                                                      00014213Novo Paraíso                                                                 00000000                                                                        Travessa                                                                                                   00790147Trinta e Três                                                           Tv Trinta e Três                                                        49082333NS                                                                                                        
DSE      00008770Aracaju                                                                      00014193Atalaia                                                                      00000000                                                                        Travessa                                                                                                   00355596Trinta e Três                                                           Tv Trinta e Três                    (Inv Varzea)                        49037250NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00356820Trinta e Um                                                             R Trinta e Um                       (Cj JK)                             49096110NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00723229Trinta e Um                                                             R Trinta e Um                       (Lot P do sul)                      49044454NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Travessa                                                                                                   00834406Trinta e Um                                                             Tv Trinta e Um                      (Cj Pe Pedro)                       49044142NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00723196Trinta e Um                                                             R Trinta e Um                       (Cj Pe Pedro)                       49044209NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00722947Trinta e Um                                                             R Trinta e Um                       (Lot Sta Maria)                     49043781NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Travessa                                                                                                   00356821Trinta e Um de Março                                                    Tv Trinta e U de Março              (Cj Sol Nascente)                   49096120NS                                                                                                        
DSE      00008770Aracaju                                                                      00014219Zona de Expansão (Robalo)                                                    00000000                                                                        Rua                                                                                                        00727731Tuta                                                                    R Tuta                              (Gameleira)                         49005215NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00862813T1                                                                      R T1                                (Lot Aquarius II)                   49001021NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00861724U                                                                       R U                                 (Lot Aquarius II)                   49001018NS                                                                                                        
DSE      00008770Aracaju                                                                      00014192América                                                                      00000000                                                                        Rua                                                                                                        00790131U                                                                       R U                                 (Cj Mª do Carmo)                    49080667NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00356822Ubaldo Vitorino                                                         R Ubaldo Vitorino                                                       49095570NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Rua                                                                                                        00851039Ulisses Alves de Moura                                                  R Ulisses A de Moura                                                    49031063NS                                                                                                        
DSE      00008770Aracaju                                                                      00014222Santos Dumont                                                                00000000                                                                        Praça                                                                                                      00356823Ulisses Guimarães                                                       Pç Ulisses Guimarães                                                    49087810NS                                                                                                        
DSE      00008770Aracaju                                                                      00014227Suíssa                                                                       00000000                                                                        Rua                                                                                                        00356824Ulisses Maynard                                                         R Ulisses Maynard                                                       49050730NS                                                                                                        
DSE      00008770Aracaju                                                                      00014225Siqueira Campos                                                              00000000                                                                        Rua                                                                                                        00356825Ulisses Siqueira                                                        R Ulisses Siqueira                                                      49075570NS                                                                                                        
DSE      00008770Aracaju                                                                      00014199Coroa do Meio                                                                00000000                                                                        Rua                                                                                                        00723624Um                                                                      R Um                                (Cj Marcelo Deda)                   49035503NS                                                                                                        
DSE      00008770Aracaju                                                                      00014192América                                                                      00000000                                                                        Travessa                                                                                                   00722296Um                                                                      Tv Um                               (Cj Mª do Carmo)                    49080649NS                                                                                                        
DSE      00008770Aracaju                                                                      00014199Coroa do Meio                                                                00000000                                                                        Rua                                                                                                        00977578Um                                                                      R                                   (Des A Goes)                        49035618NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00984685Um                                                                      R Um                                (Cj Hab Eduardo Dutra)              49067303NS                                                                                                        
DSE      00008770Aracaju                                                                      00014219Zona de Expansão (Robalo)                                                    00000000                                                                        Travessa                                                                                                   00896484Um                                                                      Tv Um                               (Rec Chacáras)                      49004057NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00807039Um                                                                      R Um                                (Res Aruanda Pr Mar II)             49000632NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00355004Um                                                                      R Um                                (Lot Imperial II)                   49066330NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Travessa                                                                                                   00834438Um                                                                      Tv Um                               (Cj Mª do Carmo)                    49044260NS                                                                                                        
DSE      00008770Aracaju                                                                      00014222Santos Dumont                                                                00000000                                                                        Rua                                                                                                        00826750Um                                                                      R Um                                (Cj Cmte Miranda)                   49087123NS                                                                                                        
DSE      00008770Aracaju                                                                      00014193Atalaia                                                                      00000000                                                                        Travessa                                                                                                   00724012Um                                                                      Tv Um                               (Jd Atlântico)                      49035268NS                                                                                                        
DSE      00008770Aracaju                                                                      00014210Lamarão                                                                      00000000                                                                        Rua                                                                                                        00356826Um                                                                      R Um                                                                    49088030NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00356827Um                                                                      R Um                                (Jd Imperial)                       49066170NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00725474Um                                                                      R Um                                (Lot Beira-Mar)                     49065283NS                                                                                                        
DSE      00008770Aracaju                                                                      00014214Olaria                                                                       00000000                                                                        Rua                                                                                                        00726919Um                                                                      R Um                                (Lot Portal Ind de Aju)             49092690NS                                                                                                        
DSE      00008770Aracaju                                                                      00014214Olaria                                                                       00000000                                                                        Rua                                                                                                        00726982Um                                                                      R Um                                (Cj Mª do Carmo I)                  49092570NS                                                                                                        
DSE      00008770Aracaju                                                                      00014219Zona de Expansão (Robalo)                                                    00000000                                                                        Rua                                                                                                        00727683Um                                                                      R Um                                (Lot Morada do Mar)                 49005023NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Travessa                                                                                                   00722961Um                                                                      Tv Um                                                                   49043818NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00722969Um                                                                      R Um                                (Cj Mª do Carmo)                    49044259NS                                                                                                        
DSE      00008770Aracaju                                                                      00014210Lamarão                                                                      00000000                                                                        Travessa                                                                                                   01029542Um                                                                      Tv Um                               (Cj Res Vitória da Resistência)     49088464NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Rua                                                                                                        00724450Um                                                                      R Um                                (Lot Diana)                         49037393NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00725032Um                                                                      R Um                                (Cj Albino S da Fonseca)            49001174NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Rua                                                                                                        00726715Um                                                                      R Um                                (Res Vle do Sol)                    49089320NS                                                                                                        
DSE      00008770Aracaju                                                                      00014207Jardim Centenário                                                            00000000                                                                        Rua                                                                                                        00726723Um                                                                      R Um                                (Lot Nova Liberdade II)             49090106NS                                                                                                        
DSE      00008770Aracaju                                                                      00014222Santos Dumont                                                                00000000                                                                        Rua                                                                                                        00726433Um                                                                      R Um                                (Lot Vitória Régia)                 49087463NS                                                                                                        
DSE      00008770Aracaju                                                                      00014222Santos Dumont                                                                00000000                                                                        Travessa                                                                                                   00726435Um                                                                      Tv Um                               (Lot Vitória  Régia)                49087466NS                                                                                                        
DSE      00008770Aracaju                                                                      00014207Jardim Centenário                                                            00000000                                                                        Travessa                                                                                                   00726753Um                                                                      Tv Um                               (Lot Nova Liberdade II)             49090293NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00853337Um                                                                      R Um                                (Lot Costa Verde I)                 49001120NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00722806União                                                                   R União                             (Res Sta Maria)                     49043534NS                                                                                                        
DSE      00008770Aracaju                                                                      00014204Inácio Barbosa                                                               00000000                                                                        Rua                                                                                                        00356829Universo                                                                R Universo                                                              49040610NS                                                                                                        
SSE      00008770Aracaju                                                                      00014197Cidade Nova                                                                  00000000                                                                        Rua                                                                                                        00356830Urandi Santos Figueiredo                                                R Urandi S Figueiredo                                                   49070536N1          99998      A00152694S                                                                         
SSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00356830Urandi Santos Figueiredo                                                R Urandi S Figueiredo                                                   49071172N1          99998      A00152693S                                                                         
DSE      00008770Aracaju                                                                      00014204Inácio Barbosa                                                               00000000                                                                        Rua                                                                                                        00356831Urano                                                                   R Urano                                                                 49040620NS                                                                                                        
DSE      00008770Aracaju                                                                      00014204Inácio Barbosa                                                               00000000                                                                        Travessa                                                                                                   00722474Urano                                                                   Tv Urano                                                                49040623NS                                                                                                        
